subhalo_id,group_id,is_central,stellar_mass,vel_dispersion,half_mass_radius,metallicity,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,halo_mass,halo_mass_log
83281,8,0,11.84549443738169,289.628,109.814,0.0148489,23228.0,32711.2,40827.3,574.307,123.031,910.046,207975664074033.06,14.318012519690214
83282,8,0,11.352669495952004,180.048,20.5032,0.0211189,23724.4,33545.2,41524.8,-276.341,178.862,307.983,207975664074033.06,14.318012519690214
83283,8,0,10.968205730937568,133.37,14.6146,0.0,23300.9,33291.2,41656.1,-26.3566,288.63,612.413,207975664074033.06,14.318012519690214
83284,8,0,10.401800293318239,88.4185,49.5439,0.0186262,24060.2,34130.8,42823.2,-987.167,34.2757,131.595,207975664074033.06,14.318012519690214
83285,8,0,10.329392173808708,89.3338,37.8737,0.0161241,23906.8,33661.7,42359.7,-1088.62,-22.3761,-129.007,207975664074033.06,14.318012519690214
83286,8,0,10.876644078262045,137.249,11.347,0.0,23800.6,32895.6,41474.6,-813.994,-329.968,-986.251,207975664074033.06,14.318012519690214
83287,8,0,10.811813183792262,127.76,13.6023,0.0,24334.5,33414.9,41580.3,-796.823,-203.061,433.859,207975664074033.06,14.318012519690214
83288,8,0,10.922647474905004,127.58,7.8038,0.0,23917.2,32754.3,41313.1,-238.866,1064.13,357.513,207975664074033.06,14.318012519690214
83289,8,0,10.621458098931184,97.6136,27.0766,0.0,24642.8,32913.3,42361.8,-440.728,691.959,275.84,207975664074033.06,14.318012519690214
60731,5,1,12.127390337654143,490.099,434.959,0.00473621,18832.8,68248.7,2399.82,21.8701,21.7809,-40.5656,203177446624963.1,14.307875498149604
60732,5,0,11.434965180292096,243.716,147.824,0.0105287,19095.3,66677.4,1441.3,-423.604,677.831,-205.629,203177446624963.1,14.307875498149604
60733,5,0,11.107462337188762,164.394,99.397,0.0103889,18619.8,70099.4,2950.71,69.3261,-548.262,-398.726,203177446624963.1,14.307875498149604
60734,5,0,11.648783375773501,256.477,32.2618,0.0,18606.1,68352.2,2408.15,572.549,-1009.1,51.0361,203177446624963.1,14.307875498149604
60735,5,0,10.969425680376835,140.296,100.772,0.0201259,18524.7,66452.1,2120.86,335.739,705.517,-419.096,203177446624963.1,14.307875498149604
60736,5,0,11.273296941280877,177.002,50.7401,0.0181103,18348.2,67978.6,2431.65,-370.133,-668.977,-865.005,203177446624963.1,14.307875498149604
60737,5,0,11.435459429617628,172.531,26.0875,0.0311916,18470.6,68148.8,2105.67,-107.034,256.74,312.22,203177446624963.1,14.307875498149604
60738,5,0,10.930558622040982,147.23,60.0338,0.0268242,19467.6,66674.9,1002.19,-670.63,480.477,93.1262,203177446624963.1,14.307875498149604
60739,5,0,11.027954187039743,131.537,72.0161,0.018028,17944.4,68739.4,3329.97,-23.5965,-634.619,-464.642,203177446624963.1,14.307875498149604
60740,5,0,10.8748398069369,132.804,58.1819,0.0131432,18778.0,69528.6,3179.81,446.345,-119.787,-808.09,203177446624963.1,14.307875498149604
41582,3,1,12.15370282266216,468.811,430.396,0.0142583,68543.1,59018.3,53992.0,155.116,69.8475,184.226,171004671469036.03,14.233007974517964
41583,3,0,11.9237645589222,396.159,256.259,0.0157368,67423.5,60173.2,54395.7,574.568,-438.2,-518.729,171004671469036.03,14.233007974517964
41584,3,0,11.513328896771291,233.541,183.098,0.00997479,66774.1,56646.9,54044.7,656.846,389.996,-293.636,171004671469036.03,14.233007974517964
